"commodity_category", "commodity_type","commodity_name","commodity_column"
"oil","oil","CHRIS/CME_CL1","Last"
"metal","gold_am","LBMA/GOLD","USD (AM)"
"metal","gold_wgc","WGC/GOLD_DAILY_USD","Value"
"metal","gold_comex","CHRIS/CME_GC1","Settle"
"metal","silver_london","LBMA/SILVER","USD"
"metal","silver_comex","CHRIS/CME_SI1","Settle"
"metal","plat_london","JOHNMATT/PLAT","London 09:00"
"metal","plat_nymex","CHRIS/CME_PL1","Settle"
"metal","palladium_london","JOHNMATT/PALL","London 09:00"
"metal","palladium_nymex","CHRIS/CME_PA1","Settle"
"metal","iridium","JOHNMATT/IRID","London 09:00"
"metal","rhodiam","JOHNMATT/RHOD","London 09:00"
"metal","rutheniam","JOHNMATT/RUTH","London 09:00"
"metal","copper_fut","CHRIS/CME_HG1","Settle"
"grain","corn_tf","TFGRAIN/CORN","Cash Price"
"grain","corn_fut","CHRIS/CME_C1","Settle"
"grain","oats_fut","CHRIS/CME_O1","Settle"
"grain","rice_fut","CHRIS/CME_RR1","Settle"
"grain","rice_tf","TFGRAIN/SOYBEANS","Cash Price"
"grain","soybean_fut","CHRIS/CME_S1","Settle"
"grain","soybean_meal_fut","CHRIS/CME_SM1","Settle"
"grain","wheat_soy_fut","CHRIS/CME_BO1","Settle"
"grain","wheat_fut","CHRIS/CME_W1","Settle"
"xrate","AUD_USD","BOE/XUDLADD","Value"
"xrate","CAD_USD","BOE/XUDLCDD","Value"
"xrate","CNY_USD","BOE/XUDLBK73","Value"
"xrate","CZK_USD","BOE/XUDLBK27","Value"
"xrate","DKK_USD","BOE/XUDLDKD","Value"
"xrate","HKD_USD","BOE/XUDLHDD","Value"
"xrate","HUF_USD","BOE/XUDLBK35","Value"
"xrate","INR_USD","BOE/XUDLBK64","Value"
"xrate","NIS_USD","BOE/XUDLBK6"5,"Value"
"xrate","JPY_USD","BOE/XUDLJYD","Value"
"xrate","MYR_USD","BOE/XUDLBK66","Value"
"xrate","NZD_USD","BOE/XUDLNDD","Value"
"xrate","NOK_USD","BOE/XUDLNKD","Value"
"xrate","PLN_USD","BOE/XUDLBK49","Value"
"xrate","BPG_USD","BOE/XUDLGBD","Value"
"xrate","RUB_USD","BOE/XUDLBK69","Value"
"xrate","SAR_USD","BOE/XUDLSRD","Value"
"xrate","SGD_USD","BOE/XUDLSGD","Value"
"xrate","ZAR_USD","BOE/XUDLZRD","Value"
"xrate","KRW_USD","BOE/XUDLBK74","Value"
"xrate","SEK_USD","BOE/XUDLSKD","Value"
"xrate","CHF_USD","BOE/XUDLSFD","Value"
"xrate","TWD_USD","BOE/XUDLTWD","Value"
"xrate","THB_USD","BOE/XUDLBK72","Value"
"xrate","TRY_USD","BOE/XUDLBK75","Value"
